id,role,type,description,size/ratio,style line ref,source
world_plane,Endless recycled battlefield ground,procedural tileable texture,dark desaturated grey-green matte floor with thin charcoal square grid lines aligned continuously across streamed tiles,1024 square,approved STYLE FORMULA,generate
scene_grade,Minimalist diorama presentation,procedural post-process,darker soft diffuse colour grade at 0.78 exposure restrained vignette controlled highlights and grounded shadows without bloom clutter,screen scale,approved STYLE FORMULA,reference_media[0]
master_cube,Player-controlled commander and camera focal point,procedural 3D model,soldier-sized softly rounded turquoise command cube distinguished from ivory soldiers by colour only,1.0 soldier unit,approved STYLE FORMULA,generate
servant_cube,Player and enemy army units,procedural 3D model,soldier-sized rounded faceted faction-colour follower cube,1.0 soldier unit,approved STYLE FORMULA,generate
rival_master,Enemy group leader and priority threat,procedural 3D model,soldier-sized coral command cube distinguished from yellow soldiers by colour only,1.0 soldier unit,approved STYLE FORMULA,generate
tombstone,Permanent marker left by a defeated rival master,procedural 3D model,chalk-stone marker with a small faded banner remnant,0.72 hero units,approved STYLE FORMULA,generate
fog_field,Undiscovered world masking and frontier reveal,procedural shader,soft blue-grey storybook mist with a feathered reveal edge,world scale,approved STYLE FORMULA,generate
strategic_map,Hybrid campaign overview and territory selection,procedural 3D interface,floating pale island tiles with coloured ownership banners,screen responsive,approved STYLE FORMULA,generate
conversion_burst,Army resurrection victory feedback,procedural VFX,two-second charcoal hold then fast turquoise hover with six synchronized full low-to-double-bright material blinks and grounded settle,world space,approved STYLE FORMULA,generate
soldier_shatter,Player soldier defeat motion,procedural 3D VFX,compact turquoise blue and ivory cube-fragment burst with gravity two restrained bounces and a short settled moment on the plane,3.2–4.2 seconds,approved STYLE FORMULA,generate
commander_shatter,Commander defeat motion,procedural 3D VFX,compact faction-colour cube-fragment explosion with stronger outward force gravity restrained bounces and grounded settling,3.8–5.0 seconds,approved STYLE FORMULA,generate
combat_impact,Readable automatic combat feedback,procedural VFX,small painted faction-colour splash soft shard pop and restrained camera impulse,world space,approved STYLE FORMULA,generate
commander_health_widget,Commander damage HUD,procedural 3D UI,compact dark billboard backing faction-colour immediate health fill and pale warm trailing chip-damage bar fixed above every commander,world space above commander,approved STYLE FORMULA,generate
soldier_health_widget,Temporary soldier damage HUD,procedural 3D UI,very small dark billboard backing faction-colour immediate health fill and pale trailing chip-damage bar visible for 1.6 seconds after impact,world space above each soldier,approved STYLE FORMULA,generate
mobile_command_ui,Touch-only gameplay interface,procedural 2D UI,HUD-free simulation view with only a compact safe-area-aware Frontier button and full controls revealed inside the opened map,phone portrait and landscape,approved STYLE FORMULA,generate
pause_control,Pause and resume gameplay,procedural 2D UI,compact paper-toned pause control with clear pause and play glyphs placed inside the top-right safe area,desktop and mobile responsive,approved STYLE FORMULA,generate
commander_lives,Remaining player commander revives,procedural 2D UI,three large warm coral heart glyphs grouped in the top-right safe area with restrained shadow and immediate loss feedback,desktop and mobile responsive,approved STYLE FORMULA,generate
duel_lunge,Readable one-on-one combat motion,procedural 3D animation,measured forward strike with a brief vertical squash forward visual lunge and clean recovery,world space,approved STYLE FORMULA,generate
damage_recoil,Readable impact response,procedural 3D animation,quick elastic squash and rebound paired with a short physical knockback opposite the attacker,world space,approved STYLE FORMULA,generate
battle_line,Readable pre-combat swarm choreography,procedural 3D animation,grounded opposing soldiers fan into clean lateral lines with eased facing acknowledge mutual locks and reinforce from alternating flanks,world space,approved STYLE FORMULA,generate
duel_detour,Committed soldier obstacle avoidance,procedural navigation motion,forward clearance probe stable left-right route choice and short side-step waypoint around commanders or soldiers blocking a locked destination,world space,approved STYLE FORMULA,generate
cover_art,Marketplace and social preview image,static 2D image,isometric pastel island diorama with clustered turquoise and coral banner armies,16:9,approved STYLE FORMULA,generate
favicon,Game favicon and catalog icon,static 2D image,minimal turquoise banner above a rounded blue follower on mist-grey,1:1,approved STYLE FORMULA,generate
battle_music,Looping soundtrack during active encounters,audio music,restrained cinematic electronic pulse with low percussion and glassy synths,30 seconds,approved STYLE FORMULA,generate
move_confirm,Click movement acknowledgement,audio SFX,short soft crystalline tactical ping,0.6 seconds,approved STYLE FORMULA,generate
combat_hit,Servant and master combat impact,procedural WebAudio SFX,compact low triangular impact tone with restrained variation,0.08 seconds,approved STYLE FORMULA,generate
conversion_rise,Simultaneous servant resurrection,audio SFX,rising harmonic crystalline swell with deep satisfying resolve,2 seconds,approved STYLE FORMULA,generate
commander_death,Pre-explosion commander defeat cue,audio SFX,isolated low wooden-stone crack descending tonal thump tight air-suck and compact cube-shatter transient,1.2 seconds,approved STYLE FORMULA,generate
defeat_retreat,Player defeat and territory counterattack,procedural WebAudio SFX,low descending sine pulse,0.5 seconds,approved STYLE FORMULA,generate
map_shift,Strategic map open and camera pullback,procedural WebAudio SFX,clean airy sine expansion tone,0.5 seconds,approved STYLE FORMULA,generate
companies_ui,Army roster pause interface,procedural HTML/CSS UI,paper-toned commander-group cards with soldier tally and a restrained arrow split control that appears above twelve soldiers,responsive overlay,approved STYLE FORMULA,generate
tactical_selection,Selected company command feedback,procedural 3D material effect,bright material lift wrapped by an obvious thick charcoal back-face ink contour and restrained ground halo with no bounding boxes,world space,approved STYLE FORMULA,generate
tactical_grid,Tactical destination feedback,procedural 3D UI,translucent matte command tiles aligned exactly over four underlying floor squares with muted red occupied tiles pale legal tiles and fresh green hover confirmation,7 by 7 world-space tiles,approved STYLE FORMULA,generate
battle_deployment,Enemy proximity formation response,procedural 3D animation,companies detect an approaching enemy wave fan into a very wide horizontal attack line and preserve manual redeployment priority until contact is re-established,world space,approved STYLE FORMULA,generate
